race_name,ppt_gender,distance_miles,date,med_time
Big Butt,F,31.07,2022-07-04,6.530833333333334
Big Butt,F,31.07,2023-07-04,6.026111111111111
Big Butt,M,31.07,2019-07-04,6.755833333333333
Big Butt,M,31.07,2021-07-04,5.569444444444444
Big Butt,M,31.07,2022-07-04,7.331944444444445
Big Butt,M,31.07,2023-07-04,6.534305555555554
Big Butts,F,15.53,2023-07-15,4.08611111111111
Big Butts,F,31.07,2019-07-20,8.884433333333334
Big Butts,F,31.07,2020-07-18,7.6805650000000005
Big Butts,F,31.07,2021-07-31,7.966944444444445
Big Butts,F,31.07,2022-07-30,8.466111111111111
Big Butts,F,31.07,2023-07-15,7.644444444444445
Big Butts,F,62.14,2021-07-31,13.646944444444445
Big Butts,M,15.53,2023-07-15,3.7127777777777777
Big Butts,M,31.07,2019-07-20,7.630927222222222
Big Butts,M,31.07,2020-07-18,7.648770138888889
Big Butts,M,31.07,2021-07-31,7.740277777777778
Big Butts,M,31.07,2022-07-30,6.699444444444443
Big Butts,M,31.07,2023-07-15,6.278333333333335
Big Butts,M,62.14,2019-07-20,12.204675
Big Butts,M,62.14,2020-07-18,10.503935555555556
Big Butts,M,62.14,2021-07-31,12.83611111111111
Big Butts,M,62.14,2022-07-30,11.574166666666667
Big Butts,M,62.14,2023-07-15,11.86138888888889
Big Foot Trail Run,F,3.11,2019-06-22,0.6505555555555556
Big Foot Trail Run,F,3.11,2020-06-20,0.7
Big Foot Trail Run,F,3.11,2021-06-19,0.6836111111111111
Big Foot Trail Run,F,3.11,2022-06-18,0.7126388888888889
Big Foot Trail Run,F,3.11,2023-06-17,0.723611111111111
Big Foot Trail Run,F,6.21,2019-06-22,1.1933333333333331
Big Foot Trail Run,F,6.21,2020-06-20,1.3116666666666668
Big Foot Trail Run,F,6.21,2021-06-19,1.2554166666666666
Big Foot Trail Run,F,6.21,2022-06-18,1.2566666666666668
Big Foot Trail Run,F,6.21,2023-06-17,1.2408333333333335
Big Foot Trail Run,M,3.11,2019-06-22,0.5640277777777778
Big Foot Trail Run,M,3.11,2020-06-20,0.5875
Big Foot Trail Run,M,3.11,2021-06-19,0.5808333333333333
Big Foot Trail Run,M,3.11,2022-06-18,0.6104166666666667
