race_name,ppt_gender,distance_miles,date,min_time
Black Mountain Trail Races,M,15.53,2023-06-17,129.93333333333334
Black Mountain Trail Races,M,31.07,2019-06-29,266.8
Black Mountain Trail Races,M,31.07,2021-06-19,235.68333333333334
Black Mountain Trail Races,M,31.07,2022-06-18,230.56666666666666
Black Mountain Trail Races,M,31.07,2023-06-17,262.1166666666667
Blackfoot Ultra,F,15.53,2022-05-28,129.0
Blackfoot Ultra,F,31.07,2019-05-25,302.21666666666664
Blackfoot Ultra,F,31.07,2022-05-28,275.75
Blackfoot Ultra,F,31.07,2023-05-27,363.05
Blackfoot Ultra,F,50.0,2019-05-25,501.56666666666666
Blackfoot Ultra,F,50.0,2022-05-28,520.4666666666667
Blackfoot Ultra,F,62.14,2019-05-25,648.9666666666667
Blackfoot Ultra,F,62.14,2022-05-28,699.9166666666666
Blackfoot Ultra,M,15.53,2022-05-28,128.5
Blackfoot Ultra,M,31.07,2019-05-25,255.78333333333333
Blackfoot Ultra,M,31.07,2022-05-28,266.5
Blackfoot Ultra,M,31.07,2023-05-27,272.03333333333336
Blackfoot Ultra,M,50.0,2019-05-25,472.98333333333335
Blackfoot Ultra,M,50.0,2022-05-28,490.25
Blackfoot Ultra,M,50.0,2023-05-27,581.0833333333334
Blackfoot Ultra,M,62.14,2019-05-25,494.0833333333333
Blackfoot Ultra,M,62.14,2022-05-28,583.4
Blackfoot Ultra,M,62.14,2023-05-27,743.0333333333333
Blackout Night Runs,F,3.11,2019-06-07,29.816666666666666
Blackout Night Runs,F,3.11,2020-09-04,32.4
Blackout Night Runs,F,3.11,2021-06-11,38.15
Blackout Night Runs,F,3.11,2022-06-10,37.03333333333333
Blackout Night Runs,F,3.11,2023-06-09,36.916666666666664
Blackout Night Runs,F,8.08,2019-06-07,60.31666666666667
Blackout Night Runs,F,8.08,2020-09-04,70.56666666666666
Blackout Night Runs,F,8.08,2021-06-11,62.333333333333336
Blackout Night Runs,F,8.08,2022-06-10,73.85
Blackout Night Runs,F,8.08,2023-06-09,71.28333333333333
Blackout Night Runs,F,16.78,2019-06-07,156.1
Blackout Night Runs,F,16.78,2021-06-11,205.46666666666667
Blackout Night Runs,F,16.78,2022-06-10,157.66666666666666
Blackout Night Runs,F,16.78,2023-06-09,175.68333333333334
Blackout Night Runs,M,3.11,2019-06-07,30.483333333333334
Blackout Night Runs,M,3.11,2020-09-04,27.566666666666666
Blackout Night Runs,M,3.11,2021-06-11,34.516666666666666
Blackout Night Runs,M,3.11,2022-06-10,29.15
Blackout Night Runs,M,3.11,2023-06-09,32.43333333333333
Blackout Night Runs,M,8.08,2019-06-07,63.56666666666667
Blackout Night Runs,M,8.08,2020-09-04,83.11666666666666
Blackout Night Runs,M,8.08,2021-06-11,77.18333333333334
Blackout Night Runs,M,8.08,2022-06-10,59.56666666666667
Blackout Night Runs,M,8.08,2023-06-09,57.0
Blackout Night Runs,M,16.78,2019-06-07,126.26666666666667
Blackout Night Runs,M,16.78,2021-06-11,130.75
Blackout Night Runs,M,16.78,2022-06-10,139.66666666666666
Blackout Night Runs,M,16.78,2023-06-09,129.5
Blood Root Ultra,F,10.0,2022-05-04,128.06666666666666
Blood Root Ultra,F,10.0,2023-05-08,115.45
Blood Root Ultra,F,30.0,2019-05-10,424.18333333333334
Blood Root Ultra,F,31.07,2022-05-04,390.1333333333333
Blood Root Ultra,F,31.07,2023-05-08,370.23333333333335
Blood Root Ultra,F,50.0,2021-05-06,825.1333333333333
Blood Root Ultra,F,50.0,2022-05-04,713.0
Blood Root Ultra,F,50.0,2023-05-08,705.6666666666666
Blood Root Ultra,M,10.0,2022-05-04,105.11666666666666
Blood Root Ultra,M,10.0,2023-05-08,95.98333333333333
Blood Root Ultra,M,30.0,2019-05-10,322.8666666666667
Blood Root Ultra,M,31.07,2022-05-04,319.15
Blood Root Ultra,M,31.07,2023-05-08,306.03333333333336
Blood Root Ultra,M,50.0,2021-05-06,618.8333333333334
Blood Root Ultra,M,50.0,2022-05-04,623.1833333333333
Blood Root Ultra,M,50.0,2023-05-08,621.2166666666667
Blood Root Ultra,M,100.0,2022-05-04,1966.4166666666667
Blue Mountain Trail Race,F,18.64,2020-09-20,145.61666666666667
Blue Mountain Trail Race,F,18.64,2021-09-30,148.25
Blue Mountain Trail Race,F,18.64,2022-09-18,167.81666666666666
Blue Mountain Trail Race,F,18.64,2023-05-21,175.15
Blue Mountain Trail Race,M,18.64,2020-09-20,134.48333333333332
Blue Mountain Trail Race,M,18.64,2021-09-30,136.36666666666667
Blue Mountain Trail Race,M,18.64,2022-09-18,136.16666666666666
Blue Mountain Trail Race,M,18.64,2023-05-21,144.83333333333334
Box Canyon Trail Races,F,10.0,2020-08-01,126.11666666666666
Box Canyon Trail Races,F,10.0,2021-07-24,104.45
Box Canyon Trail Races,F,10.0,2022-07-23,118.5071
Box Canyon Trail Races,F,10.0,2023-07-22,117.5294
Box Canyon Trail Races,F,18.64,2020-08-01,251.46666666666667
Box Canyon Trail Races,F,18.64,2021-07-24,243.6
Box Canyon Trail Races,F,18.64,2022-07-23,203.76476666666667
Box Canyon Trail Races,F,18.64,2023-07-22,210.64653333333334
Box Canyon Trail Races,M,10.0,2020-08-01,108.25
Box Canyon Trail Races,M,10.0,2021-07-24,121.75
Box Canyon Trail Races,M,10.0,2022-07-23,100.48705
Box Canyon Trail Races,M,10.0,2023-07-22,111.18365
Box Canyon Trail Races,M,18.64,2020-08-01,181.75
Box Canyon Trail Races,M,18.64,2021-07-24,196.01666666666668
Box Canyon Trail Races,M,18.64,2022-07-23,169.55715
Box Canyon Trail Races,M,18.64,2023-07-22,181.66666666666666
Breakneck Point Trail Runs,F,13.05,2018-09-08,222.36666666666667
Breakneck Point Trail Runs,F,13.05,2019-04-13,177.86666666666667
Breakneck Point Trail Runs,F,13.05,2020-09-12,183.2
Breakneck Point Trail Runs,F,13.05,2021-05-08,156.41666666666666
Breakneck Point Trail Runs,F,13.05,2022-04-30,161.7
Breakneck Point Trail Runs,F,13.05,2023-05-06,134.43333333333334
Breakneck Point Trail Runs,F,26.1,2018-09-08,403.8666666666667
Breakneck Point Trail Runs,F,26.1,2019-04-13,345.8666666666667
Breakneck Point Trail Runs,F,26.1,2020-09-12,317.76666666666665
Breakneck Point Trail Runs,F,26.1,2021-05-08,340.23333333333335
Breakneck Point Trail Runs,F,26.1,2022-04-30,326.8833333333333
Breakneck Point Trail Runs,F,26.1,2023-05-06,286.71666666666664
